"DATE","TIME","C0ppb","CO_sd","Number","Other","Center"
2010-07-11,"02:00:01",159.965,4.02899764630091,60,0,2010-07-11 02:29:31
2010-07-11,"03:00:01",167.908333333333,8.1006861326192,60,0,2010-07-11 03:29:31
2010-07-11,"04:00:01",183.291111111111,6.20578257544827,45,15,2010-07-11 04:36:41
2010-07-11,"05:00:01",160.108333333333,13.1682629726746,60,0,2010-07-11 05:29:31
2010-07-11,"06:00:01",143.33,4.83203645176508,60,0,2010-07-11 06:29:31
2010-07-11,"07:00:01",142.096666666667,6.10054086700979,60,0,2010-07-11 07:29:31
2010-07-11,"08:00:01",138.295744680851,4.39114511393735,47,13,2010-07-11 08:36:01
2010-07-11,"09:00:01",155.473333333333,7.62050905071901,60,0,2010-07-11 09:29:31
2010-07-11,"10:00:01",148.29,5.4403919350337,60,0,2010-07-11 10:29:31
2010-07-11,"11:00:01",142.668333333333,3.67637863760055,60,0,2010-07-11 11:29:31
2010-07-11,"12:00:01",141.423404255319,4.749975412566,47,13,2010-07-11 12:36:01
2010-07-11,"13:00:01",139.055,7.40861671939609,60,0,2010-07-11 13:29:31
2010-07-11,"14:00:01",131.668333333333,3.72783809146242,60,0,2010-07-11 14:29:31
2010-07-11,"15:00:01",129.981818181818,4.55193660433603,44,16,2010-07-11 15:36:10
2010-07-11,"16:00:01",127.882978723404,3.3393776528319,47,13,2010-07-11 16:36:01
2010-07-11,"17:00:01",131.508333333333,5.09776593363449,60,0,2010-07-11 17:29:31
2010-07-11,"18:00:01",139.191666666667,3.9616077744007,60,0,2010-07-11 18:29:31
2010-07-11,"19:00:01",137.035,3.84049895240056,60,0,2010-07-11 19:29:31
2010-07-11,"20:00:01",143.240425531915,3.88881671812391,47,13,2010-07-11 20:36:01
2010-07-11,"21:00:01",144.313333333333,3.77590337901854,60,0,2010-07-11 21:29:31
2010-07-11,"22:00:01",145.05,3.88694032430983,60,0,2010-07-11 22:29:31
2010-07-11,"23:00:01",140.301666666667,4.05523272197522,60,0,2010-07-11 23:29:31
2010-07-12,"00:00:01",138.917021276596,4.22195705438872,47,13,2010-07-12 00:36:01
2010-07-12,"01:00:01",143.98,4.87903852712321,60,0,2010-07-12 01:29:31
2010-07-12,"02:00:01",130.86,5.30061745974424,45,15,2010-07-12 02:36:41
2010-07-12,"03:00:01",140.895,12.4090101901121,60,0,2010-07-12 03:29:31
2010-07-12,"04:00:01",154.797872340426,4.7948563637054,47,13,2010-07-12 04:36:01
2010-07-12,"05:00:01",126.856666666667,11.7093525804422,60,0,2010-07-12 05:29:31
2010-07-12,"06:00:01",123.176666666667,4.80572986631818,60,0,2010-07-12 06:29:31
2010-07-12,"07:00:01",131.076666666667,5.74643195609142,60,0,2010-07-12 07:29:31
2010-07-12,"08:00:01",117.527659574468,5.37169320434359,47,13,2010-07-12 08:36:01
2010-07-12,"09:00:01",106.84,4.85387142357625,60,0,2010-07-12 09:29:31
2010-07-12,"10:00:01",102.59,5.08852814122785,60,0,2010-07-12 10:29:31
